akeed_order_id,customer_id,item_count,grand_total,grand_total_php,deliverydistance,preparationtime,LOCATION_NUMBER,vendor_id,vendor_name,vendor_rating,compound_score_conv
244018,ZAVF6KV,1,14,784,1.5,40,0,9,GrilledUp,5,1
244056,G7YDNZB,2,15.5,868,6.32,50,1,5,Mcdo,3,1
244089,VH7ZH3N,2,25.7,1439.2,6.03,40,1,9,GrilledUp,5,1
244123,GIJTNYL,2,15.5,868,1.76,40,0,5,Mcdo,5,1
244272,ZR50MOS,1,3.8,212.8,2.17,35,0,9,GrilledUp,5,1
244279,UJCS9G3,2,15.5,868,7.81,45,1,8,Ayumers,3,1
244418,37MZ3GQ,1,4.3,240.8,2.1,40,0,1,Kulpy Chicken,5,1
244637,PWZWL0P,3,12.5,700,3.47,40,0,7,Angel's Pasta,5,1
244717,PBYNIWR,1,9.2,515.2,8.96,40,1,7,Angel's Pasta,2,1
244740,1KPT3Q2,3,13.6,761.6,7.91,45,1,1,Kulpy Chicken,5,1
244774,2HIM0V8,6,40,2240,3.43,40,2,1,Kulpy Chicken,5,1
244783,JPKBMJG,1,5.4,302.4,4.2,40,0,6,WaffleTime,5,1
244841,8AODT7V,1,4.1,229.6,4.21,40,0,3,KFC,5,1
244941,5LERT51,2,21.9,1226.4,12.54,55,2,2,Burger King,1,1
244990,4LKX61S,5,29.9,1674.4,9.22,40,1,2,Burger King,5,0
245061,NJR2PJO,5,25.6,1433.6,3.25,35,1,7,Angel's Pasta,3,1
245176,PK742Z1,6,38.9,2178.4,9.31,45,0,7,Angel's Pasta,5,1
245184,38JPQKQ,5,26.6,1489.6,14.82,45,0,1,Kulpy Chicken,5,1
245459,DIQ1RUF,4,16.5,924,11.85,45,1,4,Lolo Thomas' Catering,5,1
245467,LWHDS6X,2,7.9,442.4,0.47,30,1,6,WaffleTime,4,1
245491,IZNQ8HQ,1,44.7,2503.2,6.69,50,2,5,Mcdo,5,1
245528,KH4ZNIF,2,18.5,1036,9.21,45,2,6,WaffleTime,5,1
245680,BITB49N,6,31,1736,6.77,45,0,3,KFC,5,1
245767,F2M1OXG,1,9.8,548.8,6.08,45,1,4,Lolo Thomas' Catering,1,1
245827,HJEX50F,3,14.1,789.6,7.38,55,0,5,Mcdo,3,1
245859,H1N9F68,3,13.3,744.8,2.77,35,1,5,Mcdo,5,1
245863,HSKCXYG,1,9,504,7.32,40,1,5,Mcdo,5,1
245871,79B9ELP,2,9.8,548.8,4.86,45,0,2,Burger King,4,1
245906,I68KFB1,2,9.1,509.6,4.33,45,1,5,Mcdo,3,1
246023,4GLZS1I,2,10.1,565.6,13.02,50,0,2,Burger King,5,1
246069,KRD52OI,3,10.1,565.6,14.24,45,0,6,WaffleTime,4,1
246272,IPTJ8XE,3,9.2,515.2,11.54,60,0,5,Mcdo,5,1
246315,3KFLGBA,2,10.6,593.6,12.32,55,0,1,Kulpy Chicken,4,1
246326,4R0RGFU,2,11.4,638.4,9.3,45,2,2,Burger King,5,1
246362,X1TCKNQ,3,0,0,9.12,45,1,9,GrilledUp,5,1
246405,OARI43L,2,9.5,532,4.04,40,2,7,Angel's Pasta,5,1
246460,CV0PJ6V,1,4.9,274.4,0.4,35,1,4,Lolo Thomas' Catering,5,1
246489,KRG9MQ2,2,9,504,9.35,50,0,6,WaffleTime,5,1
246555,RCDP944,4,10.6,593.6,10.5,45,1,7,Angel's Pasta,5,1
246803,QPRKUZD,2,9,504,10.24,40,1,7,Angel's Pasta,5,1
246807,MFYSFFJ,1,8.4,470.4,14.46,50,1,6,WaffleTime,5,1
246888,VWS3IO9,2,15.2,851.2,2.25,40,1,9,GrilledUp,5,1
246895,6ZPSTMV,5,32.9,1842.4,5.86,45,2,2,Burger King,5,1
246912,QVVEOU0,2,8.4,470.4,5.64,45,1,7,Angel's Pasta,5,1
246934,71Z4KNH,2,7.9,442.4,7.08,40,2,2,Burger King,5,1
246946,2N07XKA,3,16.3,912.8,1.25,30,1,1,Kulpy Chicken,2,1
247002,NHPFO7A,2,8.2,459.2,5.98,40,0,7,Angel's Pasta,5,1
247060,ES6ECNN,2,6,336,6.91,40,1,4,Lolo Thomas' Catering,5,1
247063,BVZCR,1,7.9,442.4,7.66,45,0,3,KFC,5,1
247100,LCAPDOF,2,11.7,655.2,12.75,50,0,6,WaffleTime,3,1
247217,SBJAFJM,2,12.8,716.8,3.2,40,1,8,Ayumers,5,1
247241,0GQAWGX,3,0.3,16.8,11.16,55,0,1,Kulpy Chicken,4,1
247443,V4C4UUN,1,7.9,442.4,6.56,40,1,8,Ayumers,5,1
247446,1G8GV,4,31.5,1764,3.59,35,1,1,Kulpy Chicken,5,1
247450,9JMRPNL,2,4.1,229.6,9.71,45,1,3,KFC,5,1
247455,X4EU9W2,2,9.2,515.2,9.73,55,1,9,GrilledUp,5,1
247478,UUR1ZIH,2,11.4,638.4,9.14,50,0,8,Ayumers,4,1
247489,C91CAOJ,7,34.8,1948.8,5.89,45,2,4,Lolo Thomas' Catering,5,1
247532,L9G24M2,1,4.6,257.6,8.09,45,2,6,WaffleTime,5,1
247576,X1TCKNQ,2,17.7,991.2,8.92,45,1,9,GrilledUp,5,1
247585,01RMLT7,8,43.2,2419.2,9.43,45,1,1,Kulpy Chicken,5,1
247600,UWGVGQJ,3,15,840,9.4,45,0,8,Ayumers,5,1
247613,D1J7VPH,3,17.4,974.4,9.72,45,2,4,Lolo Thomas' Catering,5,1
247693,WFI7JS1,3,16.7,935.2,6.17,50,1,9,GrilledUp,5,1
247707,U98V8Z6,3,16.6,929.6,8.79,45,1,8,Ayumers,5,1
247736,THOIG34,3,10.9,610.4,6.58,40,1,8,Ayumers,5,1
247737,Q12HUA0,2,6.5,364,10.83,45,1,7,Angel's Pasta,5,1
247758,YZ1ZY49,3,11.7,655.2,9.48,45,1,9,GrilledUp,5,1
247931,1UDI805,2,4.9,274.4,8.33,45,2,1,Kulpy Chicken,5,1
247975,4ZM4O78,4,8.2,459.2,4.01,35,2,2,Burger King,5,1
248013,HGVB44D,2,6.8,380.8,7.15,40,1,5,Mcdo,5,1
248130,46W8Z2P,1,5.7,319.2,12.08,55,0,2,Burger King,5,1
248144,IX2MYC9,2,10.9,610.4,11.5,65,0,5,Mcdo,5,1
248190,FJ8AF4X,2,10.9,610.4,3.54,40,0,4,Lolo Thomas' Catering,5,1
248216,MNXSPGK,1,21.5,1204,0.34,35,3,6,WaffleTime,5,1
248300,Q7CM3S4,3,7.9,442.4,11.42,60,1,7,Angel's Pasta,5,1
248304,71Z4KNH,2,5.7,319.2,7.02,45,2,2,Burger King,5,1
248327,T4UUKP7,2,6.5,364,5.68,40,0,8,Ayumers,5,1
248339,PVQ084P,2,0,0,3.86,40,0,7,Angel's Pasta,4,1
248348,TJMXEIR,3,16.3,912.8,7.14,45,3,8,Ayumers,5,1
248392,2HT7RZV,2,0,0,3.75,40,0,1,Kulpy Chicken,1,1
248395,0WPRRMJ,2,4.1,229.6,2.24,30,1,1,Kulpy Chicken,4,1
248432,U0P6FSH,2,8.2,459.2,6.73,40,0,8,Ayumers,5,0
248522,RNHMCM7,3,11.7,655.2,5.5,45,2,8,Ayumers,5,1
248560,5XQRWHD,1,7.6,425.6,10.71,45,2,2,Burger King,5,1
248576,14F8T4J,2,8.7,487.2,7.16,45,0,1,Kulpy Chicken,5,1
248613,E7SRN2L,3,28.8,1612.8,2.97,40,0,4,Lolo Thomas' Catering,5,1
248660,OCPJ494,6,25.3,1416.8,4.53,40,1,7,Angel's Pasta,5,1
248685,EK8MO9D,5,42.4,2374.4,9.42,50,2,4,Lolo Thomas' Catering,5,1
248691,UR6GGVB,3,9.5,532,7.05,50,1,8,Ayumers,4,1
248719,X3Y63L9,2,7.5,420,2.69,40,1,9,GrilledUp,5,1
248725,N9TJXBH,1,5.4,302.4,11.91,50,1,6,WaffleTime,5,1
248764,V57PEGP,1,4.6,257.6,6.39,40,1,8,Ayumers,1,1
248873,MNLTOZ1,2,17.7,991.2,12.7,50,0,6,WaffleTime,4,1
248984,KEKHJ83,1,3.3,184.8,6.28,40,0,6,WaffleTime,3,1
249110,JXUWZ2D,2,13,728,1.37,35,0,6,WaffleTime,3,1
249197,OF8VT8O,4,26.4,1478.4,3.16,40,1,7,Angel's Pasta,5,1
249275,YQNBE03,1,13.9,778.4,13.66,55,1,9,GrilledUp,1,1
249280,3XMJAPX,2,0,0,2.45,40,0,2,Burger King,5,1
249324,ZR58YAF,1,9.2,515.2,3.05,35,3,9,GrilledUp,4,1
249403,4U8SAFL,2,10.9,610.4,5.53,45,2,2,Burger King,5,0
249453,1DE1N5B,2,8.4,470.4,9.2,40,1,1,Kulpy Chicken,5,1
249474,JJZN6VC,5,11.4,638.4,2.54,40,2,6,WaffleTime,5,1
249529,T4O6XZ1,9,37.2,2083.2,14.96,45,1,8,Ayumers,5,1
249677,FJ8AF4X,2,11.4,638.4,10.13,45,0,4,Lolo Thomas' Catering,5,1
249694,ZAMZBW5,3,20.1,1125.6,11.83,60,0,9,GrilledUp,3,1
249720,EOFIMV1,1,9.8,548.8,8.11,45,0,4,Lolo Thomas' Catering,5,1
249750,QVVEOU0,2,11.7,655.2,8.52,45,1,7,Angel's Pasta,5,1
249814,MJWZ1XT,4,13,728,2.48,35,2,6,WaffleTime,5,1
249830,214940O,2,14.4,806.4,12.87,40,0,1,Kulpy Chicken,4,1
249916,XOYR6NT,3,9.8,548.8,8.75,45,0,9,GrilledUp,5,1
249940,R937BC0,5,36.7,2055.2,0.89,35,0,7,Angel's Pasta,5,1
250021,Q5ZDBHS,2,7.3,408.8,10.22,45,1,7,Angel's Pasta,4,1
250061,AVNXNSJ,2,8.4,470.4,8.73,45,2,3,KFC,5,1
250078,OSL4RVG,1,0.8,44.8,4.53,35,0,7,Angel's Pasta,4,1
250082,AHAOV5O,2,7.6,425.6,6.69,40,1,3,KFC,3,1
250105,Z6TG8HH,5,48.1,2693.6,4.87,40,0,9,GrilledUp,5,1
250220,0XCUORA,3,32,1792,5.05,45,2,1,Kulpy Chicken,3,1
250224,CB3YPBH,1,13.9,778.4,11.43,55,0,4,Lolo Thomas' Catering,1,1
250248,0WPRRMJ,2,4.3,240.8,2.24,30,1,1,Kulpy Chicken,4,1
250264,5FA7E7N,2,8.4,470.4,10.81,50,0,2,Burger King,5,1
250304,1EMNPG4,2,4.3,240.8,14.84,50,0,1,Kulpy Chicken,5,1
250305,9U6FSSI,2,16,896,7.84,40,0,3,KFC,1,1
250315,F8O7YJH,4,21.7,1215.2,9.26,45,0,4,Lolo Thomas' Catering,5,1
250401,HJFWMQJ,1,4.6,257.6,11.11,45,0,5,Mcdo,1,1
250455,YYWX8G8,1,15.9,890.4,10.22,50,2,9,GrilledUp,5,1
250468,93UI5UL,4,26.4,1478.4,3.57,40,0,3,KFC,5,1
250494,2BITZ42,1,8.2,459.2,11.08,45,0,1,Kulpy Chicken,3,1
250501,BVBDB3M,2,13.3,744.8,10.05,45,2,3,KFC,5,1
250557,TAQ4VMJ,1,8.7,487.2,8.82,45,0,8,Ayumers,4,1
250605,SWD6E9S,2,7.9,442.4,9.4,55,1,8,Ayumers,2,1
250667,JTYVBBW,2,8.4,470.4,11,55,1,6,WaffleTime,1,1
250706,1UDI805,1,5.7,319.2,9.71,55,2,1,Kulpy Chicken,5,1
250926,5TRVAO4,2,8.8,492.8,8.14,50,1,2,Burger King,5,1
251108,1QK78LL,2,9.5,532,8.06,45,2,1,Kulpy Chicken,5,1
251154,W20UCY6,1,7.6,425.6,10.58,50,2,9,GrilledUp,4,1
251255,ASJ862B,2,6.8,380.8,13.94,50,2,3,KFC,5,1
251266,3AFUBK7,1,6.8,380.8,3.02,35,1,1,Kulpy Chicken,5,1
251283,PDJ89E2,3,10.9,610.4,6.3,40,0,7,Angel's Pasta,5,1
251324,IO38EIB,3,15.8,884.8,11.19,60,1,5,Mcdo,5,1
251331,IRPSTIF,3,13.6,761.6,5.03,40,1,5,Mcdo,5,1
251348,AYQB5IJ,1,5.2,291.2,9.09,45,1,3,KFC,4,1
251388,FHEGJYO,2,12.2,683.2,8.82,45,1,4,Lolo Thomas' Catering,5,1
251429,NRHXWLV,1,6.5,364,7.11,45,1,7,Angel's Pasta,3,1
251434,4QXB9B0,2,9.2,515.2,9.64,45,1,2,Burger King,3,1
251444,BUNSKGO,4,12.2,683.2,6.49,40,0,3,KFC,3,1
251585,TJMXEIR,5,58.7,3287.2,7.75,45,3,8,Ayumers,5,1
251593,N00T78T,1,6.5,364,6.35,40,0,6,WaffleTime,1,1
251622,P61IAEA,4,20.1,1125.6,9.5,50,2,7,Angel's Pasta,4,1
251633,Z0D2IYO,3,13,728,9.19,40,0,9,GrilledUp,3,1
251647,16XJ7B7,2,21.5,1204,12.14,50,0,1,Kulpy Chicken,5,1
251680,LFD7EU6,2,6.3,352.8,7.27,35,1,6,WaffleTime,5,1
251703,X8Z1E1W,4,20.4,1142.4,6.69,35,1,9,GrilledUp,4,1
251705,PBYNIWR,3,10.3,576.8,8.96,40,1,7,Angel's Pasta,2,1
251710,W06W9TO,1,7.9,442.4,11.39,50,0,9,GrilledUp,5,1
251715,4J1OO6T,2,19.6,1097.6,2.38,40,1,2,Burger King,5,1
251727,ZCP73QX,5,54.2,3035.2,13.37,60,1,9,GrilledUp,4,1
251758,Y173U4U,3,17.9,1002.4,9.65,45,1,9,GrilledUp,5,1
251846,MXN60X0,3,19.6,1097.6,11.26,45,3,6,WaffleTime,5,1
251877,L95B8CP,2,5.4,302.4,5.35,45,1,6,WaffleTime,5,1
251957,0F8YO3R,4,18.5,1036,10.04,50,0,1,Kulpy Chicken,5,1
252002,HFS9ITQ,2,11.1,621.6,9.88,45,1,5,Mcdo,4,1
252006,QT3DM48,2,4.3,240.8,2.63,35,1,7,Angel's Pasta,5,1
252008,2MZVD6K,2,13.9,778.4,11.29,50,1,1,Kulpy Chicken,5,1
252031,YRLRJZ2,4,19.8,1108.8,9.16,40,1,9,GrilledUp,5,1
252148,KRN4JB9,2,9.5,532,4.42,45,2,6,WaffleTime,5,1
252151,HO6GIO2,2,6.5,364,5.01,45,0,5,Mcdo,5,1
252172,NKC9PLT,3,12.8,716.8,8.26,55,1,7,Angel's Pasta,5,1
252245,BAHNSCY,3,11.4,638.4,10.45,45,1,3,KFC,5,0
252256,J0C220F,1,5.7,319.2,4,40,1,5,Mcdo,5,1
252296,VDM6NSQ,4,22,1232,4.2,40,0,8,Ayumers,5,1
252329,FWNWSYH,2,20.7,1159.2,14.78,50,4,5,Mcdo,5,1
252394,VF0C6KW,1,3.8,212.8,14.04,45,1,9,GrilledUp,4,1
252455,COPZPCT,1,6.5,364,6.23,40,0,4,Lolo Thomas' Catering,5,1
252471,VASI5LQ,5,18.2,1019.2,7.52,40,0,8,Ayumers,5,1
252480,HXXEMA7,1,9.2,515.2,4.86,35,0,5,Mcdo,5,1
252485,HXXEMA7,1,0.8,44.8,4.86,35,0,5,Mcdo,5,1
252497,UNW3PEU,2,5.2,291.2,4.15,35,0,8,Ayumers,5,1
252498,GE24S4E,2,9.2,515.2,11.18,50,1,5,Mcdo,4,1
252502,UVKHLLE,2,16,896,10.43,50,3,8,Ayumers,5,1
252527,543AJ2U,6,20.1,1125.6,8.25,45,1,2,Burger King,5,1
252537,4R0RGFU,2,13.9,778.4,9.23,45,2,2,Burger King,5,1
252613,1EMNPG4,1,3.8,212.8,14.84,50,0,1,Kulpy Chicken,5,1
252634,SSFWG05,1,5.2,291.2,7.65,45,2,8,Ayumers,5,1
252699,89OCSC5,4,15,840,11.18,55,3,3,KFC,5,1
252721,L9G24M2,2,7.1,397.6,8.09,45,2,6,WaffleTime,5,1
252732,8P53LJ0,3,21.5,1204,19.36,60,1,3,KFC,5,0
252763,9K9E18T,2,5.4,302.4,8.46,50,1,3,KFC,5,1
252871,HHDDVX4,1,9.8,548.8,11.71,45,0,5,Mcdo,5,1
252899,KNMXMFU,1,7.9,442.4,11.88,45,1,6,WaffleTime,5,1
252902,TQLT8JX,1,1.4,78.4,12.01,40,0,8,Ayumers,5,1
252908,HLYAMT6,1,5.7,319.2,6.08,45,0,5,Mcdo,5,1
252942,SKVS1TS,3,13.9,778.4,4.19,35,0,8,Ayumers,4,1
252963,7XDUBIC,4,24.5,1372,12.68,45,0,3,KFC,5,1
252985,25CFFY8,1,3.3,184.8,6.08,40,1,1,Kulpy Chicken,4,1
252986,K4W3IX3,1,12.1,677.6,6.22,45,1,6,WaffleTime,4,1
252989,AYZIJXT,3,36.2,2027.2,11.42,45,1,3,KFC,5,1
253031,NEY0Q9B,1,5.4,302.4,10.29,50,2,7,Angel's Pasta,5,1
253075,18SSIX9,2,8.4,470.4,8.29,40,2,1,Kulpy Chicken,5,1
253091,YF3L5ZO,1,7.6,425.6,4.69,45,0,9,GrilledUp,3,1
253099,HD268XV,1,9.2,515.2,6.2,35,1,5,Mcdo,5,1
253159,VN7NPY1,7,48.4,2710.4,13.2,55,3,9,GrilledUp,5,1
253190,BL8XH1V,7,29.6,1657.6,9.09,45,1,3,KFC,5,1
253199,JYRBI9S,3,40.5,2268,5.9,40,0,6,WaffleTime,4,1
253239,M836BCP,3,10.3,576.8,5.38,35,0,6,WaffleTime,5,1
253306,9AU5OBD,2,7.9,442.4,9.68,55,0,3,KFC,5,1
253424,2ECPUC4,4,12.8,716.8,1.62,35,1,1,Kulpy Chicken,5,1
253447,XUSOIIK,2,14.7,823.2,4.44,45,1,9,GrilledUp,5,1
253498,CI3FRLB,3,13.9,778.4,6.81,50,0,4,Lolo Thomas' Catering,5,1
253596,MSYJ4RV,4,30.7,1719.2,4.57,40,1,6,WaffleTime,5,1
253625,P929FR6,1,11.4,638.4,4.92,40,3,7,Angel's Pasta,5,1
253702,NDYLK9A,1,14,784,11.19,50,1,7,Angel's Pasta,5,1
253723,F2NQOK1,2,7.9,442.4,6.15,40,1,4,Lolo Thomas' Catering,4,1
253724,APVLAQ5,4,32.8,1836.8,6.9,50,3,3,KFC,5,1
253757,9NIAHRC,1,8.7,487.2,3.69,35,0,3,KFC,5,1
253783,Q1IUY0W,2,6.8,380.8,3.77,45,0,7,Angel's Pasta,5,1
253883,ZPXYARE,8,84.8,4748.8,3.7,45,3,9,GrilledUp,4,1
253904,72K2FSG,2,22.8,1276.8,10.84,50,2,2,Burger King,5,1
253906,RBDDYQK,4,16.3,912.8,12.16,60,1,7,Angel's Pasta,5,1
253934,KFP7QSX,1,4.3,240.8,3.32,40,0,6,WaffleTime,5,1
253939,3WB1JXR,1,18.6,1041.6,8.1,45,3,2,Burger King,5,1
253951,PNCD7G7,3,36.2,2027.2,14.81,55,2,7,Angel's Pasta,5,1
253988,UKHN315,1,7.6,425.6,7.3,45,1,8,Ayumers,5,1
253996,UTFCT0A,3,13.9,778.4,6.73,50,2,8,Ayumers,5,1
253999,NWM2214,4,63.1,3533.6,5.22,40,2,7,Angel's Pasta,4,1
254074,LBJJKVS,4,17.4,974.4,7.28,40,2,6,WaffleTime,3,1
254091,U8VN3E0,3,15.2,851.2,10.52,50,1,8,Ayumers,3,1
254113,YD522XM,2,12,672,6.8,45,0,9,GrilledUp,3,1
254154,GO8UZ7F,1,5.2,291.2,9.72,50,3,5,Mcdo,5,1
254180,661O1O0,3,7.6,425.6,4.42,40,1,2,Burger King,5,1
254185,GD2L6X1,7,31,1736,3.47,40,2,5,Mcdo,5,1
254241,LWNM11F,1,6,336,3.43,40,1,6,WaffleTime,4,1
254289,1LUAOFJ,3,8.4,470.4,3.69,40,2,1,Kulpy Chicken,5,1
254291,VS44XAE,4,25.8,1444.8,5.83,50,1,9,GrilledUp,4,1
254314,H65MXW2,3,14.4,806.4,9.05,45,1,5,Mcdo,2,1
254330,PTV7LK7,4,19.3,1080.8,9.14,50,0,7,Angel's Pasta,5,1
254567,98HE3VN,1,5.4,302.4,3.32,40,2,3,KFC,5,1
254669,I4TNJ9P,2,8.2,459.2,3.75,40,0,5,Mcdo,5,1
254708,DJOB3JR,2,11.7,655.2,14.27,50,0,4,Lolo Thomas' Catering,5,1
254744,8MB8MAQ,2,6,336,14.34,50,1,3,KFC,4,1
254747,4IGC9BZ,6,31.5,1764,5.31,45,1,2,Burger King,5,1
254774,UNR40DZ,2,10.3,576.8,8.45,45,1,8,Ayumers,5,1
254858,PE9URTA,1,9,504,6.89,50,1,7,Angel's Pasta,5,1
254935,NGWMDI3,1,6,336,5.99,50,1,7,Angel's Pasta,5,1
254974,E21MJUB,2,7.6,425.6,7.59,45,0,4,Lolo Thomas' Catering,5,1
255021,XDNKH3J,3,15.5,868,4.83,45,1,9,GrilledUp,5,1
255065,KVHFSCT,1,10.6,593.6,9.66,45,0,6,WaffleTime,5,1
255075,3TKJ3ZC,1,6.3,352.8,12.53,45,0,2,Burger King,4,1
255116,LD9F31W,2,4.3,240.8,12.29,55,0,6,WaffleTime,5,1
255160,GFHZB3B,2,13.9,778.4,4.27,40,0,5,Mcdo,5,1
255217,IUNZ8EA,2,10.1,565.6,3.12,40,0,5,Mcdo,5,1
255307,LOK1DQA,1,5.2,291.2,6.69,45,0,6,WaffleTime,5,1
255314,PNS8I52,3,15.5,868,4.01,40,1,7,Angel's Pasta,4,1
255318,BLDGNI4,2,7.9,442.4,6.54,45,2,3,KFC,5,1
255323,11W9TWM,3,22.3,1248.8,13.29,55,0,1,Kulpy Chicken,5,0
255350,MS8OSRT,1,6,336,7.78,45,0,6,WaffleTime,5,1
255380,9WH9SNR,1,8.7,487.2,7.34,40,1,3,KFC,5,1
255390,A2BC35U,7,15.5,868,5.08,40,3,3,KFC,5,1
255410,CY6LJ7N,1,7,392,11.56,45,1,4,Lolo Thomas' Catering,5,1
255442,3KT6H0A,3,17.4,974.4,9.84,45,0,1,Kulpy Chicken,3,1
255484,7FHP7T4,3,10.9,610.4,12.87,45,1,2,Burger King,5,1
255492,MAFVXHV,2,16.3,912.8,2.65,40,1,6,WaffleTime,5,1
255504,HSJA8TM,1,9.5,532,5.16,45,1,5,Mcdo,4,1
255506,JYWVJMP,1,7.3,408.8,7.18,40,0,6,WaffleTime,5,1
255536,GO8D6EM,5,22.8,1276.8,8.68,50,1,5,Mcdo,4,1
255563,J4X4OXH,4,23.7,1327.2,4.6,40,6,5,Mcdo,5,1
